K,group,route,t0_s,t1_s,q3_provider,relay_task,local_provider,margin_dB
3,2,11,3163.58812010127,3343.58812010127,R01,Q3-R03,K3-G2-R01,4.1760073314011
3,2,11,3343.58812010127,3398.07917845088,R01,Q3-R03,K3-G2-R01,3.61938804937449
3,2,11,3398.07917845088,3775.95089235212,R01,Q3-R03,K3-G2-R01,2.49346836753311
3,2,11,3775.95089235212,3929.66016237165,G01,,G01,20.2529737910729
3,2,12,2640.72744160904,2785.42882100357,G01,,G01,19.1938966486376
3,2,12,2785.42882100357,2947.14704663787,G01,,G01,3.18966542594336
3,2,12,2947.14704663787,3028.00615945501,G01,,G01,0.551150622150189
3,2,12,3028.00615945501,3068.43571586358,R02,Q3-R02,K3-G2-R02,0.191806872894844
3,2,12,3068.43571586358,3088.65049406787,R02,Q3-R02,K3-G2-R02,0.225479369143045
3,2,12,3088.65049406787,3108.86527227216,R02,Q3-R02,K3-G2-R02,0.0656777465776202
3,2,12,3108.86527227216,3161.50263026138,R01,Q3-R03,K3-G2-R01,8.42697449740466
3,2,12,3161.50263026138,3269.64077144077,R01,Q3-R03,K3-G2-R01,3.8577347132254
3,2,12,3269.64077144077,3358.9624267142,R01,Q3-R03,K3-G2-R01,3.75529719651702
3,2,12,3358.9624267142,3598.9624267142,R01,Q3-R03,K3-G2-R01,3.99762295151061
3,2,12,3598.9624267142,3673.39713944207,R01,Q3-R03,K3-G2-R01,3.75529719651702
3,2,12,3673.39713944207,3915.50311466061,R01,Q3-R03,K3-G2-R01,3.60381085021034
3,2,12,3915.50311466061,4157.60908987915,G01,,G01,9.93702786276152
3,2,12,4157.60908987915,4331.25074515259,G01,,G01,19.1938966486376
3,2,17,3724.61166928744,3878.32093930697,G01,,G01,20.2529737910729
3,2,17,3878.32093930697,4180.61831042798,R01,Q3-R03,K3-G2-R01,2.49346836753311
3,2,17,4180.61831042798,4262.35489795239,R01,Q3-R03,K3-G2-R01,3.61938804937449
3,2,17,4262.35489795239,4514.35489795239,R01,Q3-R03,K3-G2-R01,4.1760073314011
3,2,17,4514.35489795239,4539.23463428052,R01,Q3-R03,K3-G2-R01,3.96888991577794
3,2,17,4539.23463428052,4721.51874246726,R01,Q3-R03,K3-G2-R01,3.76961865994826
3,2,17,4721.51874246726,4757.61841287742,R01,Q3-R03,K3-G2-R01,3.92003079650402
3,2,17,4757.61841287742,4852.19663204812,R01,Q3-R03,K3-G2-R01,3.99762295151061
3,2,17,4852.19663204812,5117.61841287742,R01,Q3-R03,K3-G2-R01,3.99762295151061
3,2,17,5117.61841287742,5206.94006815086,R01,Q3-R03,K3-G2-R01,3.75529719651702
3,2,17,5206.94006815086,5425.78900509904,R01,Q3-R03,K3-G2-R01,3.68343196608357
3,2,17,5425.78900509904,5544.66019542507,R01,Q3-R03,K3-G2-R01,0.394167925235152
3,2,17,5544.66019542507,5691.15201858794,G01,,G01,3.9686654679071
3,2,17,5691.15201858794,5908.20408767974,G01,,G01,19.1938966486376
3,2,18,300.000001000016,390.493942243506,G01,,G01,23.2709600060778
